Time[s],Voltage[V],Current[A]
6.703351675837919e-05,0.0,5.249710547269343
6.71335667833917e-05,0.0,5.244460837159768
6.72336168084042e-05,0.0,5.239216376759866
6.73336668334167e-05,0.0,5.233977160819926
6.743371685842921e-05,0.0,5.228743184095489
6.753376688344172e-05,0.0,5.22351444134734
6.763381690845423e-05,0.0,5.218290927341503
6.773386693346673e-05,0.0,5.213072636849237
6.783391695847924e-05,0.0,5.207859564647028
6.793396698349175e-05,0.0,5.202651705516585
6.803401700850426e-05,0.0,5.1974490542448395
6.813406703351675e-05,0.0,5.192251605623933
6.823411705852926e-05,0.0,5.187059354451212
6.833416708354177e-05,0.0,5.1818722955292325
6.843421710855428e-05,0.0,5.176690423665742
6.853426713356678e-05,0.0,5.171513733673683
6.863431715857929e-05,0.0,5.166342220371185
6.87343671835918e-05,0.0,5.161175878581557
6.88344172086043e-05,0.0,5.156014703133288
6.893446723361681e-05,0.0,5.150858688860037
6.903451725862931e-05,0.0,5.145707830600631
6.913456728364182e-05,0.0,5.140562123199054
6.923461730865433e-05,0.0,5.135421561504449
6.933466733366684e-05,0.0,5.13028614037111
6.943471735867933e-05,0.0,5.125155854658477
6.953476738369184e-05,0.0,5.120030699231129
6.963481740870435e-05,0.0,5.11491066895878
6.973486743371686e-05,0.0,5.109795758716277
6.983491745872936e-05,0.0,5.104685963383591
6.993496748374187e-05,0.0,5.099581277845809
7.003501750875438e-05,0.0,5.0944816969931415
7.013506753376689e-05,0.0,5.0893872157209
7.02351175587794e-05,0.0,5.0842978289295075
7.033516758379189e-05,0.0,5.0792135315244815
7.04352176088044e-05,0.0,5.074134318416436
7.053526763381691e-05,0.0,5.069060184521076
7.063531765882942e-05,0.0,5.063991124759188
7.073536768384192e-05,0.0,5.058927134056639
7.083541770885443e-05,0.0,5.053868207344371
7.093546773386693e-05,0.0,5.048814339558392
7.103551775887944e-05,0.0,5.043765525639778
7.113556778389194e-05,0.0,5.0387217605346635
7.123561780890445e-05,0.0,5.033683039194233
7.133566783391696e-05,0.0,5.0286493565747215
7.143571785892947e-05,0.0,5.02362070763741
7.153576788394198e-05,0.0,5.018597087348617
7.163581790895447e-05,0.0,5.013578490679694
7.173586793396698e-05,0.0,5.008564912607022
7.183591795897949e-05,0.0,5.003556348112004
7.1935967983992e-05,0.0,4.998552792181063
7.20360180090045e-05,0.0,4.993554239805636
7.213606803401701e-05,0.0,4.9885606859821685
7.223611805902952e-05,0.0,4.983572125712108
7.233616808404203e-05,0.0,4.978588554001901
7.243621810905452e-05,0.0,4.973609965862989
7.253626813406703e-05,0.0,4.9686363563118014
7.263631815907954e-05,0.0,4.963667720369749
7.273636818409205e-05,0.0,4.958704053063225
7.283641820910456e-05,0.0,4.953745349423594
7.293646823411706e-05,0.0,4.948791604487189
7.303651825912956e-05,0.0,4.943842813295308
7.313656828414207e-05,0.0,4.938898970894205
7.323661830915458e-05,0.0,4.933960072335092
7.333666833416708e-05,0.0,4.929026112674126
7.343671835917959e-05,0.0,4.9240970869724086
7.35367683841921e-05,0.0,4.9191729902959835
7.363681840920461e-05,0.0,4.9142538177158235
7.37368684342171e-05,0.0,4.9093395643078335
7.383691845922961e-05,0.0,4.904430225152842
7.393696848424212e-05,0.0,4.899525795336596
7.403701850925463e-05,0.0,4.894626269949757
7.413706853426713e-05,0.0,4.889731644087897
7.423711855927964e-05,0.0,4.884841912851491
7.433716858429215e-05,0.0,4.879957071345913
7.443721860930466e-05,0.0,4.875077114681433
7.453726863431716e-05,0.0,4.870202037973211
7.463731865932966e-05,0.0,4.865331836341292
7.473736868434217e-05,0.0,4.8604665049105975
7.483741870935468e-05,0.0,4.855606038810928
7.493746873436719e-05,0.0,4.8507504331769535
7.503751875937968e-05,0.0,4.845899683148208
7.51375687843922e-05,0.0,4.8410537838690875
7.52376188094047e-05,0.0,4.836212730488841
7.533766883441721e-05,0.0,4.831376518161571
7.543771885942971e-05,0.0,4.826545142046226
7.553776888444222e-05,0.0,4.821718597306593
7.563781890945473e-05,0.0,4.816896879111297
7.573786893446724e-05,0.0,4.8120799826337946
7.583791895947975e-05,0.0,4.8072679030523675
7.593796898449224e-05,0.0,4.802460635550122
7.603801900950475e-05,0.0,4.797658175314977
7.613806903451726e-05,0.0,4.792860517539666
7.623811905952977e-05,0.0,4.788067657421731
7.633816908454227e-05,0.0,4.783279590163515
7.643821910955478e-05,0.0,4.778496310972158
7.653826913456728e-05,0.0,4.773717815059593
7.66383191595798e-05,0.0,4.7689440976425415
7.673836918459229e-05,0.0,4.764175153942511
7.68384192096048e-05,0.0,4.75941097918578
7.693846923461731e-05,0.0,4.754651568603411
7.703851925962982e-05,0.0,4.749896917431227
7.713856928464233e-05,0.0,4.745147020909818
7.723861930965482e-05,0.0,4.740401874284536
7.733866933466733e-05,0.0,4.735661472805481
7.743871935967984e-05,0.0,4.730925811727512
7.753876938469235e-05,0.0,4.726194886310226
7.763881940970485e-05,0.0,4.721468691817962
7.773886943471736e-05,0.0,4.716747223519796
7.783891945972987e-05,0.0,4.712030476689535
7.793896948474238e-05,0.0,4.707318446605711
7.803901950975487e-05,0.0,4.702611128551578
7.813906953476738e-05,0.0,4.697908517815107
7.823911955977989e-05,0.0,4.693210609688981
7.83391695847924e-05,0.0,4.688517399470587
7.843921960980491e-05,0.0,4.683828882462023
7.85392696348174e-05,0.0,4.679145053970075
7.863931965982991e-05,0.0,4.674465909306228
7.873936968484242e-05,0.0,4.6697914437866554
7.883941970985493e-05,0.0,4.665121652732212
7.893946973486743e-05,0.0,4.660456531468435
7.903951975987994e-05,0.0,4.655796075325533
7.913956978489245e-05,0.0,4.651140279638384
7.923961980990496e-05,0.0,4.646489139746534
7.933966983491745e-05,0.0,4.641842650994189
7.943971985992996e-05,0.0,4.637200808730209
7.953976988494247e-05,0.0,4.632563608308105
7.963981990995498e-05,0.0,4.627931045086037
7.973986993496749e-05,0.0,4.623303114426805
7.983991995997999e-05,0.0,4.618679811697846
7.99399699849925e-05,0.0,4.614061132271231
8.0040020010005e-05,0.0,4.609447071523657
8.014007003501751e-05,0.0,4.6048376248364455
8.024012006003001e-05,0.0,4.600232787595537
8.034017008504252e-05,0.0,4.595632555191487
8.044022011005503e-05,0.0,4.591036923019456
8.054027013506754e-05,0.0,4.586445886479214
8.064032016008003e-05,0.0,4.581859440975131
8.074037018509254e-05,0.0,4.577277581916167
8.084042021010505e-05,0.0,4.572700304715882
8.094047023511756e-05,0.0,4.568127604792415
8.104052026013007e-05,0.0,4.56355947756849
8.114057028514257e-05,0.0,4.558995918471409
8.124062031015508e-05,0.0,4.554436922933044
8.134067033516759e-05,0.0,4.549882486389837
8.14407203601801e-05,0.0,4.545332604282794
8.154077038519259e-05,0.0,4.540787272057478
8.16408204102051e-05,0.0,4.536246485164009
8.174087043521761e-05,0.0,4.5317102390570545
8.184092046023012e-05,0.0,4.527178529195829
8.194097048524262e-05,0.0,4.522651351044086
8.204102051025512e-05,0.0,4.518128700070118
8.214107053526763e-05,0.0,4.513610571746748
8.224112056028014e-05,0.0,4.509096961551323
8.234117058529265e-05,0.0,4.504587864965717
8.244122061030515e-05,0.0,4.500083277476322
8.254127063531766e-05,0.0,4.49558319457404
8.264132066033017e-05,0.0,4.491087611754285
8.274137068534268e-05,0.0,4.486596524516975
8.284142071035517e-05,0.0,4.482109928366529
8.294147073536768e-05,0.0,4.4776278188118575
8.304152076038019e-05,0.0,4.4731501913663685
8.31415707853927e-05,0.0,4.46867704154795
8.32416208104052e-05,0.0,4.464208364878979
8.33416708354177e-05,0.0,4.459744156886304
8.344172086043022e-05,0.0,4.455284413101249
8.354177088544273e-05,0.0,4.450829129059606
8.364182091045523e-05,0.0,4.446378300301634
8.374187093546773e-05,0.0,4.44193192237205
8.384192096048024e-05,0.0,4.437489990820024
8.394197098549275e-05,0.0,4.43305250119918
8.404202101050526e-05,0.0,4.428619449067586
8.414207103551775e-05,0.0,4.424190829987755
8.424212106053026e-05,0.0,4.419766639526634
8.434217108554277e-05,0.0,4.415346873255606
8.444222111055528e-05,0.0,4.410931526750479
8.454227113556778e-05,0.0,4.406520595591491
8.464232116058029e-05,0.0,4.4021140753632935
8.47423711855928e-05,0.0,4.397711961654956
8.48424212106053e-05,0.0,4.39331425005996
8.494247123561782e-05,0.0,4.388920936176192
8.504252126063031e-05,0.0,4.384532015605943
8.514257128564282e-05,0.0,4.380147483955898
8.524262131065533e-05,0.0,4.375767336837137
8.534267133566784e-05,0.0,4.3713915698651284
8.544272136068034e-05,0.0,4.367020178659729
8.554277138569285e-05,0.0,4.36265315884517
8.564282141070535e-05,0.0,4.358290506050061
8.574287143571786e-05,0.0,4.353932215907383
8.584292146073036e-05,0.0,4.349578284054485
8.594297148574287e-05,0.0,4.345228706133076
8.604302151075538e-05,0.0,4.340883477789227
8.614307153576789e-05,0.0,4.336542594673358
8.624312156078038e-05,0.0,4.332206052440245
8.634317158579289e-05,0.0,4.327873846749003
8.64432216108054e-05,0.0,4.32354597326309
8.654327163581791e-05,0.0,4.319222427650303
8.664332166083042e-05,0.0,4.314903205582767
8.674337168584292e-05,0.0,4.3105883027369405
8.684342171085543e-05,0.0,4.306277714793598
8.694347173586794e-05,0.0,4.301971437437841
8.704352176088045e-05,0.0,4.297669466359079
8.714357178589294e-05,0.0,4.293371797251039
8.724362181090545e-05,0.0,4.289078425811748
8.734367183591796e-05,0.0,4.284789347743538
8.744372186093047e-05,0.0,4.280504558753039
8.754377188594297e-05,0.0,4.2762240545511725
8.764382191095547e-05,0.0,4.2719478308531516
8.774387193596798e-05,0.0,4.267675883378472
8.78439219609805e-05,0.0,4.263408207850912
